after_sequence,taker_id,maker_id,price,quantity,taker_side
42,ORD000042,ORD000038,100.10,55,BUY
153,ORD000153,ORD000152,99.87,7,SELL
256,ORD000256,ORD000254,100.30,4,SELL
264,ORD000264,ORD000263,99.52,60,BUY
531,ORD000531,ORD000529,100.50,46,SELL
582,ORD000582,ORD000581,100.49,1,BUY
595,ORD000595,ORD000589,101.32,29,BUY
606,ORD000606,ORD000600,100.48,30,SELL
628,ORD000628,ORD000627,100.34,49,SELL
645,ORD000645,ORD000643,99.70,11,BUY
655,ORD000655,ORD000651,100.25,50,SELL
744,ORD000744,ORD000742,100.48,27,SELL
747,ORD000747,ORD000742,100.48,66,SELL
749,ORD000749,ORD000742,100.48,7,SELL
749,ORD000749,ORD000748,99.88,10,SELL
762,ORD000762,ORD000761,99.83,63,BUY
816,ORD000816,ORD000815,100.14,71,SELL
821,ORD000821,ORD000816,100.12,22,BUY
833,ORD000833,ORD000830,100.46,54,SELL
848,ORD000848,ORD000847,101.19,34,BUY
885,ORD000885,ORD000884,99.87,10,BUY
898,ORD000898,ORD000897,99.68,27,SELL
909,ORD000909,ORD000908,100.46,56,SELL
931,ORD000931,ORD000930,101.96,11,BUY
1022,ORD001022,ORD001021,100.28,12,SELL
1023,ORD001023,ORD001021,100.28,66,SELL
1369,ORD001369,ORD001366,100.37,24,SELL
1389,ORD001389,ORD001386,99.64,2,BUY
1409,ORD001409,ORD001407,98.93,89,SELL
1447,ORD001447,ORD001446,100.06,57,BUY
1522,ORD001522,ORD001521,100.31,13,SELL
1679,ORD001679,ORD001678,99.79,31,SELL
1710,ORD001710,ORD001702,100.14,63,SELL
1728,ORD001728,ORD001727,99.78,42,BUY
1737,ORD001737,ORD001736,99.87,20,BUY
1783,ORD001783,ORD001782,100.26,1,BUY
1821,ORD001821,ORD001819,100.37,21,BUY
1826,ORD001826,ORD001821,100.41,1,SELL
1838,ORD001838,ORD001827,99.78,18,BUY
1937,ORD001937,ORD001934,100.30,3,BUY
1938,ORD001938,ORD001934,100.30,26,BUY
1958,ORD001958,ORD001957,101.85,65,BUY
2081,ORD002081,ORD002079,101.72,43,BUY
2175,ORD002175,ORD002174,100.05,64,BUY
2206,ORD002206,ORD002196,100.09,4,BUY
2279,ORD002279,ORD002278,99.56,5,BUY
2365,ORD002365,ORD002364,99.95,11,SELL
2430,ORD002430,ORD002428,100.48,4,SELL
2431,ORD002431,ORD002430,100.14,57,BUY
2471,ORD002471,ORD002470,101.92,31,BUY
2653,ORD002653,ORD002651,100.15,20,SELL
