sequence,order_id,type,side,price,quantity
1,ORD000001,LIMIT,BUY,98.61,18
2,ORD000002,LIMIT,BUY,98.08,12
3,ORD000001,CANCEL,,,
4,ORD000002,CANCEL,,,
5,ORD000005,LIMIT,SELL,99.52,21
6,ORD000005,CANCEL,,,
7,ORD000007,LIMIT,BUY,98.84,12
8,ORD000007,CANCEL,,,
9,ORD000009,LIMIT,SELL,101.32,69
10,ORD000009,CANCEL,,,
11,ORD000011,LIMIT,SELL,101.05,47
12,ORD000011,CANCEL,,,
13,ORD000013,LIMIT,BUY,100.46,30
14,ORD000014,LIMIT,SELL,101.09,47
15,ORD000014,CANCEL,,,
16,ORD000013,CANCEL,,,
17,ORD000017,LIMIT,BUY,98.43,94
18,ORD000017,CANCEL,,,
19,ORD000019,LIMIT,BUY,100.11,100
20,ORD000019,CANCEL,,,
21,ORD000021,LIMIT,SELL,100.03,73
22,ORD000022,LIMIT,SELL,100.75,83
23,ORD000022,CANCEL,,,
24,ORD000021,CANCEL,,,
25,ORD000025,LIMIT,SELL,100.5,29
26,ORD000026,LIMIT,BUY,98.23,7
27,ORD000027,LIMIT,BUY,99.98,55
28,ORD000026,CANCEL,,,
29,ORD000027,CANCEL,,,
30,ORD000025,CANCEL,,,
31,ORD000031,LIMIT,BUY,99.34,35
32,ORD000032,LIMIT,SELL,100.59,59
33,ORD000032,CANCEL,,,
34,ORD000034,LIMIT,BUY,98.27,81
35,ORD000031,CANCEL,,,
36,ORD000034,CANCEL,,,
37,ORD000037,LIMIT,BUY,99.22,15
38,ORD000038,LIMIT,SELL,100.1,73
39,ORD000039,LIMIT,BUY,100.04,98
40,ORD000037,CANCEL,,,
41,ORD000039,CANCEL,,,
42,ORD000042,LIMIT,BUY,100.18,55
43,ORD000043,LIMIT,BUY,99.0,86
44,ORD000043,CANCEL,,,
45,ORD000045,LIMIT,SELL,100.06,44
46,ORD000038,CANCEL,,,
47,ORD000045,CANCEL,,,
48,ORD000048,LIMIT,BUY,100.26,43
49,ORD000048,CANCEL,,,
50,ORD000050,LIMIT,SELL,99.83,74
51,ORD000050,CANCEL,,,
52,ORD000052,LIMIT,SELL,99.74,56
53,ORD000052,CANCEL,,,
54,ORD000054,LIMIT,BUY,100.46,13
55,ORD000054,CANCEL,,,
56,ORD000056,LIMIT,BUY,98.48,58
57,ORD000056,CANCEL,,,
58,ORD000058,LIMIT,BUY,98.19,71
59,ORD000058,CANCEL,,,
60,ORD000060,LIMIT,BUY,99.21,28
61,ORD000061,LIMIT,BUY,98.01,50
62,ORD000061,CANCEL,,,
63,ORD000060,CANCEL,,,
64,ORD000064,LIMIT,SELL,99.65,95
65,ORD000064,CANCEL,,,
66,ORD000066,LIMIT,SELL,101.63,21
67,ORD000066,CANCEL,,,
68,ORD000068,LIMIT,BUY,99.69,31
69,ORD000068,CANCEL,,,
70,ORD000070,LIMIT,BUY,99.05,75
71,ORD000070,CANCEL,,,
72,ORD000072,LIMIT,BUY,98.79,34
73,ORD000072,CANCEL,,,
74,ORD000074,MARKET,BUY,,80
75,ORD000075,LIMIT,BUY,98.53,34
76,ORD000075,CANCEL,,,
77,ORD000077,LIMIT,BUY,98.39,70
78,ORD000078,LIMIT,BUY,99.39,85
79,ORD000077,CANCEL,,,
80,ORD000078,CANCEL,,,
81,ORD000081,LIMIT,BUY,99.51,92
82,ORD000081,CANCEL,,,
83,ORD000083,LIMIT,SELL,101.62,12
84,ORD000083,CANCEL,,,
85,ORD000085,LIMIT,SELL,101.09,34
86,ORD000085,CANCEL,,,
87,ORD000087,LIMIT,SELL,99.78,89
88,ORD000088,LIMIT,BUY,99.46,19
89,ORD000087,CANCEL,,,
90,ORD000088,CANCEL,,,
91,ORD000091,LIMIT,BUY,99.67,46
92,ORD000092,LIMIT,SELL,101.37,31
93,ORD000093,LIMIT,BUY,98.06,95
94,ORD000094,LIMIT,SELL,101.66,32
95,ORD000091,CANCEL,,,
96,ORD000092,CANCEL,,,
97,ORD000097,LIMIT,BUY,100.3,45
98,ORD000093,CANCEL,,,
99,ORD000094,CANCEL,,,
100,ORD000097,CANCEL,,,
101,ORD000101,LIMIT,SELL,100.77,87
102,ORD000102,LIMIT,SELL,99.79,34
103,ORD000102,CANCEL,,,
104,ORD000101,CANCEL,,,
105,ORD000105,LIMIT,SELL,101.96,15
106,ORD000105,CANCEL,,,
107,ORD000107,MARKET,SELL,,69
108,ORD000108,LIMIT,BUY,98.17,86
109,ORD000109,LIMIT,SELL,99.81,39
110,ORD000109,CANCEL,,,
111,ORD000108,CANCEL,,,
112,ORD000112,LIMIT,BUY,100.35,87
113,ORD000113,LIMIT,BUY,98.75,71
114,ORD000114,LIMIT,SELL,100.57,75
115,ORD000113,CANCEL,,,
116,ORD000114,CANCEL,,,
