sequence,order_id,type,side,price,quantity
1,EDGE_MKT_01,MARKET,BUY,,100
2,EDGE_MKT_02,MARKET,SELL,,100
3,LMT_B1,LIMIT,BUY,100.00,10
4,LMT_B2,LIMIT,BUY,99.00,20
5,LMT_S1,LIMIT,SELL,101.00,10
6,LMT_S2,LIMIT,SELL,102.00,20
7,CROSS_B1,LIMIT,BUY,102.00,15
8,SWEEP_B1,MARKET,BUY,,1000
9,CROSS_B1,CANCEL,,,
10,GHOST_01,CANCEL,,,
11,INV_Q0,LIMIT,BUY,100.00,0
12,INV_QN,LIMIT,SELL,100.00,-10
13,INV_P0,LIMIT,BUY,0.00,10
14,INV_PN,LIMIT,BUY,-10.00,10
15,FIFO_B1,LIMIT,BUY,50.00,10
16,FIFO_B2,LIMIT,BUY,50.00,15
17,FIFO_B3,LIMIT,BUY,50.00,5
18,FIFO_S1,LIMIT,SELL,50.00,20
19,TICK_1,LIMIT,BUY,50.001,10
20,CONC_0,LIMIT,BUY,10.00,1
21,CONC_1,LIMIT,BUY,10.00,1
22,CONC_2,LIMIT,BUY,10.00,1
23,CONC_3,LIMIT,BUY,10.00,1
24,CONC_4,LIMIT,BUY,10.00,1
25,CONC_5,LIMIT,BUY,10.00,1
26,CONC_6,LIMIT,BUY,10.00,1
27,CONC_7,LIMIT,BUY,10.00,1
28,CONC_8,LIMIT,BUY,10.00,1
29,CONC_9,LIMIT,BUY,10.00,1
30,CONC_10,LIMIT,BUY,10.00,1
31,CONC_11,LIMIT,BUY,10.00,1
32,CONC_12,LIMIT,BUY,10.00,1
33,CONC_13,LIMIT,BUY,10.00,1
34,CONC_14,LIMIT,BUY,10.00,1
35,CONC_15,LIMIT,BUY,10.00,1
36,CONC_16,LIMIT,BUY,10.00,1
37,CONC_17,LIMIT,BUY,10.00,1
38,CONC_18,LIMIT,BUY,10.00,1
39,CONC_19,LIMIT,BUY,10.00,1
40,CONC_20,LIMIT,BUY,10.00,1
41,CONC_21,LIMIT,BUY,10.00,1
42,CONC_22,LIMIT,BUY,10.00,1
43,CONC_23,LIMIT,BUY,10.00,1
44,CONC_24,LIMIT,BUY,10.00,1
45,CONC_25,LIMIT,BUY,10.00,1
46,CONC_26,LIMIT,BUY,10.00,1
47,CONC_27,LIMIT,BUY,10.00,1
48,CONC_28,LIMIT,BUY,10.00,1
49,CONC_29,LIMIT,BUY,10.00,1
50,CONC_30,LIMIT,BUY,10.00,1
51,CONC_31,LIMIT,BUY,10.00,1
52,CONC_32,LIMIT,BUY,10.00,1
53,CONC_33,LIMIT,BUY,10.00,1
54,CONC_34,LIMIT,BUY,10.00,1
55,CONC_35,LIMIT,BUY,10.00,1
56,CONC_36,LIMIT,BUY,10.00,1
57,CONC_37,LIMIT,BUY,10.00,1
58,CONC_38,LIMIT,BUY,10.00,1
59,CONC_39,LIMIT,BUY,10.00,1
60,CONC_40,LIMIT,BUY,10.00,1
61,CONC_41,LIMIT,BUY,10.00,1
62,CONC_42,LIMIT,BUY,10.00,1
63,CONC_43,LIMIT,BUY,10.00,1
64,CONC_44,LIMIT,BUY,10.00,1
65,CONC_45,LIMIT,BUY,10.00,1
66,CONC_46,LIMIT,BUY,10.00,1
67,CONC_47,LIMIT,BUY,10.00,1
68,CONC_48,LIMIT,BUY,10.00,1
69,CONC_49,LIMIT,BUY,10.00,1
70,CONC_50,LIMIT,BUY,10.00,1
71,CONC_51,LIMIT,BUY,10.00,1
72,CONC_52,LIMIT,BUY,10.00,1
73,CONC_53,LIMIT,BUY,10.00,1
74,CONC_54,LIMIT,BUY,10.00,1
75,CONC_55,LIMIT,BUY,10.00,1
76,CONC_56,LIMIT,BUY,10.00,1
77,CONC_57,LIMIT,BUY,10.00,1
78,CONC_58,LIMIT,BUY,10.00,1
79,CONC_59,LIMIT,BUY,10.00,1
80,CONC_60,LIMIT,BUY,10.00,1
81,CONC_61,LIMIT,BUY,10.00,1
82,CONC_62,LIMIT,BUY,10.00,1
83,CONC_63,LIMIT,BUY,10.00,1
84,CONC_64,LIMIT,BUY,10.00,1
85,CONC_65,LIMIT,BUY,10.00,1
86,CONC_66,LIMIT,BUY,10.00,1
87,CONC_67,LIMIT,BUY,10.00,1
