after_sequence,taker_id,maker_id,price,quantity,taker_side
9,ORD000009,ORD000003,99.79,38,SELL
17,ORD000017,ORD000015,100.11,64,SELL
18,ORD000018,ORD000015,100.11,18,SELL
25,ORD000025,ORD000015,100.11,18,SELL
25,ORD000025,ORD000003,99.79,38,SELL
28,ORD000028,ORD000012,100.41,48,BUY
28,ORD000028,ORD000022,100.46,50,BUY
30,ORD000030,ORD000026,100.19,31,SELL
31,ORD000031,ORD000022,100.46,27,BUY
31,ORD000031,ORD000019,100.57,36,BUY
32,ORD000032,ORD000019,100.57,39,BUY
32,ORD000032,ORD000013,101.21,10,BUY
32,ORD000032,ORD000010,101.26,6,BUY
32,ORD000032,ORD000008,101.32,6,BUY
33,ORD000033,ORD000008,101.32,63,BUY
33,ORD000033,ORD000011,101.64,13,BUY
33,ORD000033,ORD000023,101.65,2,BUY
35,ORD000035,ORD000026,100.19,3,SELL
35,ORD000035,ORD000034,99.89,83,SELL
37,ORD000037,ORD000034,99.89,6,SELL
37,ORD000037,ORD000003,99.79,14,SELL
37,ORD000037,ORD000024,99.34,35,SELL
37,ORD000037,ORD000029,99.22,15,SELL
37,ORD000037,ORD000016,99.00,1,SELL
38,ORD000038,ORD000036,100.63,32,BUY
42,ORD000042,ORD000041,100.21,13,SELL
43,ORD000043,ORD000041,100.21,60,SELL
45,ORD000045,ORD000044,100.46,13,SELL
45,ORD000045,ORD000041,100.21,1,SELL
46,ORD000046,ORD000016,99.00,8,SELL
46,ORD000046,ORD000040,98.70,16,SELL
48,ORD000048,ORD000045,99.77,11,BUY
49,ORD000049,ORD000048,100.32,20,SELL
49,ORD000049,ORD000040,98.70,32,SELL
51,ORD000051,ORD000040,98.70,15,SELL
51,ORD000051,ORD000001,98.61,18,SELL
51,ORD000051,ORD000014,98.61,57,SELL
52,ORD000052,ORD000014,98.61,3,SELL
52,ORD000052,ORD000005,98.40,35,SELL
59,ORD000059,ORD000053,99.36,86,SELL
60,ORD000060,ORD000053,99.36,10,SELL
60,ORD000060,ORD000054,99.26,68,SELL
60,ORD000060,ORD000057,99.05,19,SELL
61,ORD000061,ORD000058,100.01,73,BUY
67,ORD000067,ORD000062,99.26,17,SELL
67,ORD000067,ORD000057,99.05,56,SELL
67,ORD000067,ORD000063,98.92,9,SELL
68,ORD000068,ORD000063,98.92,7,SELL
70,ORD000070,ORD000063,98.92,5,SELL
70,ORD000070,ORD000005,98.40,20,SELL
70,ORD000070,ORD000066,98.39,32,SELL
73,ORD000073,ORD000069,99.61,6,BUY
74,ORD000074,ORD000069,99.61,37,BUY
78,ORD000078,ORD000065,99.76,5,BUY
79,ORD000079,ORD000065,99.76,13,BUY
79,ORD000079,ORD000071,99.78,46,BUY
80,ORD000080,ORD000071,99.78,43,BUY
80,ORD000080,ORD000058,100.01,19,BUY
80,ORD000080,ORD000075,101.37,23,BUY
81,ORD000081,ORD000074,99.67,9,SELL
82,ORD000082,ORD000072,99.46,19,SELL
