sequence,order_id,type,side,price,quantity
1,ORD000001,LIMIT,BUY,98.61,18
2,ORD000002,LIMIT,BUY,98.08,12
3,ORD000003,LIMIT,BUY,99.79,90
4,ORD000004,MARKET,BUY,,36
5,ORD000005,LIMIT,BUY,98.4,55
6,ORD000006,MARKET,BUY,,98
7,ORD000007,MARKET,BUY,,46
8,ORD000008,LIMIT,SELL,101.32,69
9,ORD000009,MARKET,SELL,,38
10,ORD000010,LIMIT,SELL,101.26,6
11,ORD000011,LIMIT,SELL,101.64,13
12,ORD000012,LIMIT,SELL,100.41,48
13,ORD000013,LIMIT,SELL,101.21,10
14,ORD000014,LIMIT,BUY,98.61,60
15,ORD000015,LIMIT,BUY,100.11,100
16,ORD000016,LIMIT,BUY,99.0,9
17,ORD000017,MARKET,SELL,,64
18,ORD000018,MARKET,SELL,,18
19,ORD000019,LIMIT,SELL,100.57,75
20,ORD000020,LIMIT,BUY,98.35,64
21,ORD000021,LIMIT,BUY,98.38,21
22,ORD000022,LIMIT,SELL,100.46,77
23,ORD000023,LIMIT,SELL,101.65,2
24,ORD000024,LIMIT,BUY,99.34,35
25,ORD000025,MARKET,SELL,,56
26,ORD000026,LIMIT,BUY,100.19,34
27,ORD000027,LIMIT,BUY,98.27,81
28,ORD000028,MARKET,BUY,,98
29,ORD000029,LIMIT,BUY,99.22,15
30,ORD000030,MARKET,SELL,,31
31,ORD000031,MARKET,BUY,,63
32,ORD000032,MARKET,BUY,,61
33,ORD000033,MARKET,BUY,,78
34,ORD000034,LIMIT,BUY,99.89,89
35,ORD000035,MARKET,SELL,,86
36,ORD000036,LIMIT,SELL,100.63,32
37,ORD000037,MARKET,SELL,,71
38,ORD000038,MARKET,BUY,,91
39,ORD000039,MARKET,BUY,,5
40,ORD000040,LIMIT,BUY,98.7,63
41,ORD000041,LIMIT,BUY,100.21,74
42,ORD000042,LIMIT,SELL,99.98,13
43,ORD000043,MARKET,SELL,,60
44,ORD000044,LIMIT,BUY,100.46,13
45,ORD000045,LIMIT,SELL,99.77,25
46,ORD000046,MARKET,SELL,,24
47,ORD000047,LIMIT,BUY,98.19,71
48,ORD000048,LIMIT,BUY,100.32,31
49,ORD000049,MARKET,SELL,,52
50,ORD000050,MARKET,BUY,,50
51,ORD000051,MARKET,SELL,,90
52,ORD000052,MARKET,SELL,,38
53,ORD000053,LIMIT,BUY,99.36,96
54,ORD000054,LIMIT,BUY,99.26,68
55,ORD000055,LIMIT,BUY,98.17,9
56,ORD000056,MARKET,BUY,,73
57,ORD000057,LIMIT,BUY,99.05,75
58,ORD000058,LIMIT,SELL,100.01,92
59,ORD000059,MARKET,SELL,,86
60,ORD000060,MARKET,SELL,,97
61,ORD000061,MARKET,BUY,,73
62,ORD000062,LIMIT,BUY,99.26,17
63,ORD000063,LIMIT,BUY,98.92,21
64,ORD000064,LIMIT,SELL,101.97,84
65,ORD000065,LIMIT,SELL,99.76,18
66,ORD000066,LIMIT,BUY,98.39,37
67,ORD000067,MARKET,SELL,,82
68,ORD000068,MARKET,SELL,,7
69,ORD000069,LIMIT,SELL,99.61,43
70,ORD000070,MARKET,SELL,,57
71,ORD000071,LIMIT,SELL,99.78,89
72,ORD000072,LIMIT,BUY,99.46,19
73,ORD000073,MARKET,BUY,,6
74,ORD000074,LIMIT,BUY,99.67,46
75,ORD000075,LIMIT,SELL,101.37,31
76,ORD000076,LIMIT,BUY,98.06,95
77,ORD000077,LIMIT,SELL,101.66,32
78,ORD000078,MARKET,BUY,,5
79,ORD000079,MARKET,BUY,,59
80,ORD000080,MARKET,BUY,,85
81,ORD000081,MARKET,SELL,,9
82,ORD000082,MARKET,SELL,,66
83,ORD000083,LIMIT,SELL,99.79,34
84,ORD000084,MARKET,SELL,,77
85,ORD000085,MARKET,SELL,,66
86,ORD000086,MARKET,BUY,,91
87,ORD000087,MARKET,BUY,,9
88,ORD000088,LIMIT,SELL,101.16,16
89,ORD000089,LIMIT,SELL,101.17,42
90,ORD000090,LIMIT,SELL,99.98,86
91,ORD000091,LIMIT,BUY,98.75,71
92,ORD000092,MARKET,SELL,,56
93,ORD000093,MARKET,SELL,,57
94,ORD000094,LIMIT,SELL,101.9,95
95,ORD000095,MARKET,BUY,,85
96,ORD000096,MARKET,SELL,,97
97,ORD000097,MARKET,SELL,,26
98,ORD000098,MARKET,BUY,,61
99,ORD000099,MARKET,BUY,,81
100,ORD000100,MARKET,SELL,,32
101,ORD000101,LIMIT,BUY,100.15,14
102,ORD000102,MARKET,BUY,,90
103,ORD000103,LIMIT,BUY,100.29,16
104,ORD000104,LIMIT,SELL,101.97,77
105,ORD000105,LIMIT,SELL,101.3,65
106,ORD000106,LIMIT,SELL,101.36,61
107,ORD000107,LIMIT,BUY,98.69,100
