after_sequence,taker_id,maker_id,price,quantity,taker_side
17,ORD000017,ORD000015,100.11,73,SELL
30,ORD000030,ORD000015,100.11,27,SELL
37,ORD000037,ORD000031,100.04,71,SELL
38,ORD000038,ORD000030,100.10,46,BUY
38,ORD000038,ORD000012,100.41,45,BUY
39,ORD000039,ORD000012,100.41,3,BUY
39,ORD000039,ORD000006,100.45,2,BUY
42,ORD000042,ORD000041,100.21,13,SELL
45,ORD000045,ORD000006,100.45,44,BUY
45,ORD000045,ORD000020,100.50,29,BUY
45,ORD000045,ORD000036,100.63,21,BUY
52,ORD000052,ORD000050,100.32,1,SELL
54,ORD000054,ORD000050,100.32,8,SELL
56,ORD000056,ORD000036,100.63,11,BUY
56,ORD000056,ORD000043,100.67,55,BUY
61,ORD000061,ORD000059,100.35,73,SELL
61,ORD000061,ORD000050,100.32,19,SELL
63,ORD000063,ORD000043,100.67,39,BUY
63,ORD000063,ORD000018,100.75,41,BUY
64,ORD000064,ORD000018,100.75,28,BUY
72,ORD000072,ORD000050,100.32,3,SELL
72,ORD000072,ORD000041,100.21,40,SELL
85,ORD000085,ORD000074,100.36,34,SELL
91,ORD000091,ORD000074,100.36,39,SELL
95,ORD000095,ORD000074,100.36,16,SELL
95,ORD000095,ORD000076,100.25,6,SELL
95,ORD000095,ORD000041,100.21,15,SELL
98,ORD000098,ORD000041,100.21,6,SELL
98,ORD000098,ORD000065,100.20,32,SELL
98,ORD000098,ORD000022,99.98,55,SELL
98,ORD000098,ORD000028,99.91,4,SELL
101,ORD000101,ORD000099,100.00,4,BUY
113,ORD000113,ORD000073,100.60,53,BUY
114,ORD000114,ORD000105,100.29,16,SELL
114,ORD000114,ORD000101,100.22,38,SELL
122,ORD000122,ORD000101,100.22,32,SELL
124,ORD000124,ORD000028,99.91,3,SELL
133,ORD000133,ORD000129,99.92,78,BUY
135,ORD000135,ORD000133,99.93,10,SELL
135,ORD000135,ORD000028,99.91,63,SELL
135,ORD000135,ORD000115,99.91,10,SELL
136,ORD000136,ORD000115,99.91,39,SELL
153,ORD000153,ORD000146,99.54,17,BUY
154,ORD000154,ORD000146,99.54,17,BUY
168,ORD000168,ORD000120,99.48,30,SELL
171,ORD000171,ORD000155,99.53,37,BUY
171,ORD000171,ORD000146,99.54,3,BUY
176,ORD000176,ORD000146,99.54,1,BUY
176,ORD000176,ORD000157,99.66,34,BUY
202,ORD000202,ORD000157,99.66,29,BUY
202,ORD000202,ORD000136,99.76,5,BUY
214,ORD000214,ORD000136,99.76,3,BUY
214,ORD000214,ORD000184,99.97,42,BUY
222,ORD000222,ORD000184,99.97,5,BUY
222,ORD000222,ORD000221,99.98,33,BUY
222,ORD000222,ORD000167,100.08,45,BUY
224,ORD000224,ORD000207,99.74,4,SELL
247,ORD000247,ORD000219,99.71,28,SELL
248,ORD000248,ORD000224,99.73,34,BUY
248,ORD000248,ORD000238,99.79,9,BUY
257,ORD000257,ORD000238,99.79,22,BUY
257,ORD000257,ORD000225,99.83,44,BUY
264,ORD000264,ORD000219,99.71,68,SELL
264,ORD000264,ORD000177,99.63,22,SELL
266,ORD000266,ORD000260,99.77,52,BUY
269,ORD000269,ORD000260,99.77,40,BUY
269,ORD000269,ORD000225,99.83,8,BUY
277,ORD000277,ORD000274,99.77,44,BUY
286,ORD000286,ORD000285,99.70,51,SELL
287,ORD000287,ORD000274,99.77,28,BUY
287,ORD000287,ORD000225,99.83,11,BUY
291,ORD000291,ORD000225,99.83,7,BUY
291,ORD000291,ORD000228,99.85,29,BUY
291,ORD000291,ORD000281,99.89,10,BUY
296,ORD000296,ORD000285,99.70,12,SELL
296,ORD000296,ORD000283,99.65,2,SELL
302,ORD000302,ORD000281,99.89,30,BUY
308,ORD000308,ORD000235,100.05,9,BUY
308,ORD000308,ORD000167,100.08,3,BUY
316,ORD000316,ORD000302,99.93,13,SELL
327,ORD000327,ORD000167,100.08,43,BUY
327,ORD000327,ORD000145,100.10,37,BUY
333,ORD000333,ORD000145,100.10,24,BUY
333,ORD000333,ORD000332,100.10,33,BUY
338,ORD000338,ORD000332,100.10,19,BUY
342,ORD000342,ORD000302,99.93,21,SELL
347,ORD000347,ORD000283,99.65,61,SELL
347,ORD000347,ORD000177,99.63,3,SELL
353,ORD000353,ORD000177,99.63,11,SELL
355,ORD000355,ORD000353,99.61,39,BUY
355,ORD000355,ORD000342,99.84,4,BUY
369,ORD000369,ORD000342,99.84,12,BUY
369,ORD000369,ORD000343,99.85,67,BUY
