sequence,order_id,type,side,price,quantity
1,ORD000001,LIMIT,BUY,98.61,18
2,ORD000002,LIMIT,BUY,98.08,12
3,ORD000003,LIMIT,BUY,99.79,90
4,ORD000004,LIMIT,BUY,98.7,1
5,ORD000005,LIMIT,BUY,98.85,20
6,ORD000006,LIMIT,SELL,100.45,46
7,ORD000007,LIMIT,SELL,101.32,69
8,ORD000004,CANCEL,,,
9,ORD000003,CANCEL,,,
10,ORD000010,LIMIT,SELL,101.26,6
11,ORD000011,LIMIT,SELL,101.64,13
12,ORD000012,LIMIT,SELL,100.41,48
13,ORD000013,LIMIT,SELL,101.21,10
14,ORD000014,LIMIT,BUY,98.61,60
15,ORD000015,LIMIT,BUY,100.11,100
16,ORD000001,CANCEL,,,
17,ORD000017,LIMIT,SELL,100.03,73
18,ORD000018,LIMIT,SELL,100.75,83
19,ORD000019,LIMIT,SELL,101.36,69
20,ORD000020,LIMIT,SELL,100.5,29
21,ORD000021,LIMIT,BUY,98.23,7
22,ORD000022,LIMIT,BUY,99.98,55
23,ORD000023,LIMIT,SELL,101.99,68
24,ORD000024,LIMIT,BUY,98.29,69
25,ORD000025,LIMIT,SELL,100.59,59
26,ORD000014,CANCEL,,,
27,ORD000027,LIMIT,BUY,98.27,81
28,ORD000028,LIMIT,BUY,99.91,70
29,ORD000029,LIMIT,BUY,99.22,15
30,ORD000030,LIMIT,SELL,100.1,73
31,ORD000031,LIMIT,BUY,100.04,98
32,ORD000032,LIMIT,BUY,99.19,71
33,ORD000025,CANCEL,,,
34,ORD000034,LIMIT,SELL,101.82,97
35,ORD000035,LIMIT,BUY,99.0,86
36,ORD000036,LIMIT,SELL,100.63,32
37,ORD000037,MARKET,SELL,,71
38,ORD000038,MARKET,BUY,,91
39,ORD000039,MARKET,BUY,,5
40,ORD000040,LIMIT,BUY,98.7,63
41,ORD000041,LIMIT,BUY,100.21,74
42,ORD000042,LIMIT,SELL,99.98,13
43,ORD000043,LIMIT,SELL,100.67,94
44,ORD000031,CANCEL,,,
45,ORD000045,MARKET,BUY,,94
46,ORD000046,LIMIT,BUY,98.48,58
47,ORD000011,CANCEL,,,
48,ORD000048,LIMIT,BUY,98.19,71
49,ORD000034,CANCEL,,,
50,ORD000050,LIMIT,BUY,100.32,31
51,ORD000027,CANCEL,,,
52,ORD000052,LIMIT,SELL,99.91,1
53,ORD000053,LIMIT,SELL,101.46,37
54,ORD000054,LIMIT,SELL,100.24,8
55,ORD000055,LIMIT,BUY,98.14,75
56,ORD000056,MARKET,BUY,,66
57,ORD000012,CANCEL,,,
58,ORD000006,CANCEL,,,
59,ORD000059,LIMIT,BUY,100.35,73
60,ORD000060,LIMIT,BUY,99.05,75
61,ORD000061,LIMIT,SELL,100.01,92
62,ORD000062,LIMIT,SELL,101.18,39
63,ORD000063,MARKET,BUY,,80
64,ORD000064,MARKET,BUY,,28
65,ORD000065,LIMIT,BUY,100.2,32
66,ORD000066,LIMIT,BUY,99.36,39
67,ORD000067,LIMIT,BUY,99.39,85
68,ORD000020,CANCEL,,,
69,ORD000069,LIMIT,BUY,98.39,37
70,ORD000070,LIMIT,SELL,101.09,34
71,ORD000071,LIMIT,SELL,101.62,12
72,ORD000072,MARKET,SELL,,43
73,ORD000073,LIMIT,SELL,100.6,91
74,ORD000074,LIMIT,BUY,100.36,89
75,ORD000075,LIMIT,BUY,99.46,19
76,ORD000076,LIMIT,BUY,100.25,6
77,ORD000077,LIMIT,BUY,99.67,46
78,ORD000078,LIMIT,SELL,101.37,31
79,ORD000079,LIMIT,BUY,98.06,95
80,ORD000080,LIMIT,SELL,101.66,32
81,ORD000081,LIMIT,BUY,98.1,61
82,ORD000082,LIMIT,SELL,101.55,30
83,ORD000083,LIMIT,BUY,98.7,9
84,ORD000084,LIMIT,SELL,100.77,87
85,ORD000085,LIMIT,SELL,99.79,34
86,ORD000035,CANCEL,,,
87,ORD000077,CANCEL,,,
88,ORD000088,LIMIT,SELL,101.96,15
89,ORD000089,LIMIT,BUY,99.77,1
90,ORD000090,LIMIT,BUY,98.17,86
91,ORD000091,LIMIT,SELL,99.81,39
92,ORD000092,LIMIT,SELL,101.24,71
93,ORD000060,CANCEL,,,
94,ORD000094,LIMIT,SELL,101.76,79
95,ORD000095,LIMIT,SELL,99.5,37
96,ORD000096,LIMIT,SELL,100.61,28
97,ORD000097,LIMIT,BUY,98.71,85
98,ORD000098,MARKET,SELL,,97
99,ORD000099,LIMIT,SELL,100.0,4
100,ORD000069,CANCEL,,,
101,ORD000101,LIMIT,BUY,100.22,74
102,ORD000089,CANCEL,,,
103,ORD000103,LIMIT,SELL,101.14,1
104,ORD000104,LIMIT,BUY,98.55,90
105,ORD000105,LIMIT,BUY,100.29,16
