after_sequence,taker_id,maker_id,price,quantity,taker_side
4,ORD000004,ORD000002,98.08,12,SELL
18,ORD000018,ORD000016,100.11,28,SELL
19,ORD000019,ORD000016,100.11,64,SELL
20,ORD000020,ORD000016,100.11,8,SELL
20,ORD000020,ORD000015,98.61,10,SELL
28,ORD000028,ORD000024,99.98,55,SELL
28,ORD000028,ORD000027,99.34,1,SELL
34,ORD000034,ORD000027,99.34,31,SELL
35,ORD000035,ORD000031,100.77,26,BUY
35,ORD000035,ORD000014,101.21,10,BUY
35,ORD000035,ORD000030,101.40,27,BUY
36,ORD000036,ORD000030,101.40,38,BUY
36,ORD000036,ORD000025,101.99,23,BUY
37,ORD000037,ORD000025,101.99,45,BUY
43,ORD000043,ORD000040,100.79,5,BUY
46,ORD000046,ORD000038,99.89,61,SELL
47,ORD000047,ORD000040,100.79,11,BUY
49,ORD000049,ORD000048,101.66,7,BUY
56,ORD000056,ORD000054,100.32,1,SELL
58,ORD000058,ORD000054,100.32,30,SELL
58,ORD000058,ORD000052,100.15,8,SELL
61,ORD000061,ORD000057,101.46,37,BUY
67,ORD000067,ORD000064,100.35,73,SELL
67,ORD000067,ORD000052,100.15,19,SELL
69,ORD000069,ORD000068,101.18,39,BUY
79,ORD000079,ORD000071,100.20,7,SELL
84,ORD000084,ORD000071,100.20,25,SELL
86,ORD000086,ORD000084,99.78,6,BUY
94,ORD000094,ORD000088,101.37,31,BUY
94,ORD000094,ORD000092,101.65,29,BUY
102,ORD000102,ORD000098,99.79,34,BUY
102,ORD000102,ORD000101,101.96,15,BUY
108,ORD000108,ORD000087,99.67,37,SELL
112,ORD000112,ORD000087,99.67,9,SELL
112,ORD000112,ORD000085,99.46,19,SELL
112,ORD000112,ORD000111,98.71,69,SELL
117,ORD000117,ORD000104,99.81,39,BUY
119,ORD000119,ORD000111,98.71,16,SELL
119,ORD000119,ORD000044,98.70,63,SELL
119,ORD000119,ORD000051,98.70,5,SELL
126,ORD000126,ORD000110,100.61,10,BUY
127,ORD000127,ORD000110,100.61,18,BUY
127,ORD000127,ORD000123,101.30,23,BUY
128,ORD000128,ORD000123,101.30,30,BUY
130,ORD000130,ORD000121,100.29,16,SELL
132,ORD000132,ORD000131,99.91,49,SELL
132,ORD000132,ORD000051,98.70,1,SELL
134,ORD000134,ORD000051,98.70,26,SELL
134,ORD000134,ORD000125,98.69,30,SELL
138,ORD000138,ORD000130,100.02,38,BUY
138,ORD000138,ORD000135,101.20,17,BUY
146,ORD000146,ORD000135,101.20,3,BUY
147,ORD000147,ORD000135,101.20,32,BUY
147,ORD000147,ORD000123,101.30,12,BUY
147,ORD000147,ORD000133,101.34,42,BUY
153,ORD000153,ORD000149,99.92,78,BUY
153,ORD000153,ORD000152,101.29,10,BUY
153,ORD000153,ORD000133,101.34,11,BUY
160,ORD000160,ORD000155,99.67,58,BUY
174,ORD000174,ORD000167,99.54,38,BUY
174,ORD000174,ORD000155,99.67,25,BUY
174,ORD000174,ORD000156,99.76,32,BUY
177,ORD000177,ORD000156,99.76,7,BUY
178,ORD000178,ORD000156,99.76,8,BUY
190,ORD000190,ORD000166,100.10,58,BUY
191,ORD000191,ORD000178,99.88,6,SELL
191,ORD000191,ORD000186,99.85,24,SELL
193,ORD000193,ORD000186,99.85,30,SELL
196,ORD000196,ORD000166,100.10,3,BUY
196,ORD000196,ORD000171,100.18,33,BUY
196,ORD000196,ORD000170,100.36,4,BUY
214,ORD000214,ORD000209,99.97,15,BUY
229,ORD000229,ORD000209,99.97,32,BUY
229,ORD000229,ORD000217,100.11,2,BUY
241,ORD000241,ORD000186,99.85,2,SELL
245,ORD000245,ORD000186,99.85,42,SELL
245,ORD000245,ORD000234,99.74,4,SELL
245,ORD000245,ORD000181,99.72,4,SELL
246,ORD000246,ORD000239,100.10,74,BUY
250,ORD000250,ORD000181,99.72,16,SELL
250,ORD000250,ORD000248,99.71,9,SELL
251,ORD000251,ORD000239,100.10,1,BUY
251,ORD000251,ORD000217,100.11,69,BUY
251,ORD000251,ORD000220,100.21,13,BUY
259,ORD000259,ORD000220,100.21,26,BUY
259,ORD000259,ORD000247,100.24,3,BUY
275,ORD000275,ORD000248,99.71,87,SELL
275,ORD000275,ORD000154,99.41,1,SELL
276,ORD000276,ORD000154,99.41,5,SELL
276,ORD000276,ORD000237,99.41,24,SELL
276,ORD000276,ORD000233,99.08,7,SELL
278,ORD000278,ORD000233,99.08,6,SELL
278,ORD000278,ORD000184,98.95,22,SELL
279,ORD000279,ORD000269,99.79,31,BUY
279,ORD000279,ORD000266,100.05,9,BUY
279,ORD000279,ORD000247,100.24,3,BUY
281,ORD000281,ORD000247,100.24,79,BUY
281,ORD000281,ORD000267,100.26,19,BUY
295,ORD000295,ORD000292,99.58,36,BUY
297,ORD000297,ORD000289,99.19,90,SELL
299,ORD000299,ORD000292,99.58,26,BUY
299,ORD000299,ORD000285,99.77,4,BUY
301,ORD000301,ORD000299,100.22,23,SELL
307,ORD000307,ORD000289,99.19,10,SELL
307,ORD000307,ORD000184,98.95,35,SELL
307,ORD000307,ORD000254,98.82,20,SELL
310,ORD000310,ORD000301,99.88,38,BUY
314,ORD000314,ORD000310,100.11,19,SELL
315,ORD000315,ORD000310,100.11,42,SELL
315,ORD000315,ORD000311,99.64,53,SELL
316,ORD000316,ORD000267,100.26,34,BUY
316,ORD000316,ORD000258,100.35,15,BUY
316,ORD000316,ORD000305,100.53,19,BUY
320,ORD000320,ORD000305,100.53,67,BUY
320,ORD000320,ORD000244,100.56,18,BUY
325,ORD000325,ORD000321,100.04,39,BUY
329,ORD000329,ORD000318,99.80,95,SELL
332,ORD000332,ORD000318,99.80,5,SELL
332,ORD000332,ORD000328,99.76,47,SELL
335,ORD000335,ORD000328,99.76,14,SELL
341,ORD000341,ORD000321,100.04,19,BUY
343,ORD000343,ORD000321,100.04,8,BUY
343,ORD000343,ORD000324,100.27,29,BUY
343,ORD000343,ORD000244,100.56,15,BUY
343,ORD000343,ORD000221,100.62,47,BUY
349,ORD000349,ORD000346,100.26,12,BUY
357,ORD000357,ORD000328,99.76,4,SELL
357,ORD000357,ORD000311,99.64,9,SELL
358,ORD000358,ORD000311,99.64,27,SELL
358,ORD000358,ORD000331,99.44,66,SELL
366,ORD000366,ORD000359,99.46,18,SELL
374,ORD000374,ORD000369,100.19,31,SELL
375,ORD000375,ORD000369,100.19,49,SELL
390,ORD000390,ORD000373,99.53,37,SELL
393,ORD000393,ORD000373,99.53,60,SELL
393,ORD000393,ORD000359,99.46,1,SELL
393,ORD000393,ORD000331,99.44,3,SELL
402,ORD000402,ORD000331,99.44,3,SELL
405,ORD000405,ORD000403,99.83,46,SELL
408,ORD000408,ORD000387,99.84,6,BUY
410,ORD000410,ORD000403,99.83,35,SELL
410,ORD000410,ORD000406,99.71,62,SELL
418,ORD000418,ORD000387,99.84,31,BUY
418,ORD000418,ORD000388,99.85,48,BUY
422,ORD000422,ORD000406,99.71,9,SELL
426,ORD000426,ORD000406,99.71,15,SELL
431,ORD000431,ORD000406,99.71,4,SELL
431,ORD000431,ORD000424,99.70,14,SELL
432,ORD000432,ORD000424,99.70,34,SELL
432,ORD000432,ORD000331,99.44,2,SELL
432,ORD000432,ORD000394,99.44,56,SELL
