sequence,order_id,type,side,price,quantity
1,ORD000001,LIMIT,BUY,98.61,18
2,ORD000002,LIMIT,BUY,98.08,12
3,ORD000001,CANCEL,,,
4,ORD000004,MARKET,SELL,,76
5,ORD000002,CANCEL,,,
6,ORD000006,LIMIT,BUY,98.85,20
7,ORD000006,CANCEL,,,
8,ORD000008,MARKET,SELL,,45
9,ORD000009,LIMIT,BUY,99.34,49
10,ORD000009,CANCEL,,,
11,ORD000011,LIMIT,SELL,101.26,6
12,ORD000012,LIMIT,SELL,101.64,13
13,ORD000013,LIMIT,SELL,100.41,48
14,ORD000014,LIMIT,SELL,101.21,10
15,ORD000015,LIMIT,BUY,98.61,60
16,ORD000016,LIMIT,BUY,100.11,100
17,ORD000011,CANCEL,,,
18,ORD000018,MARKET,SELL,,28
19,ORD000019,MARKET,SELL,,64
20,ORD000020,MARKET,SELL,,18
21,ORD000016,CANCEL,,,
22,ORD000022,LIMIT,SELL,100.5,29
23,ORD000023,LIMIT,BUY,98.23,7
24,ORD000024,LIMIT,BUY,99.98,55
25,ORD000025,LIMIT,SELL,101.99,68
26,ORD000012,CANCEL,,,
27,ORD000027,LIMIT,BUY,99.34,35
28,ORD000028,MARKET,SELL,,56
29,ORD000013,CANCEL,,,
30,ORD000030,LIMIT,SELL,101.4,65
31,ORD000031,LIMIT,SELL,100.77,26
32,ORD000022,CANCEL,,,
33,ORD000033,LIMIT,BUY,99.22,15
34,ORD000034,MARKET,SELL,,31
35,ORD000035,MARKET,BUY,,63
36,ORD000036,MARKET,BUY,,61
37,ORD000037,MARKET,BUY,,78
38,ORD000038,LIMIT,BUY,99.89,89
39,ORD000025,CANCEL,,,
40,ORD000040,LIMIT,SELL,100.79,16
41,ORD000015,CANCEL,,,
42,ORD000042,LIMIT,BUY,98.02,91
43,ORD000043,MARKET,BUY,,5
44,ORD000044,LIMIT,BUY,98.7,63
45,ORD000024,CANCEL,,,
46,ORD000046,MARKET,SELL,,61
47,ORD000047,MARKET,BUY,,85
48,ORD000048,LIMIT,SELL,101.66,7
49,ORD000049,MARKET,BUY,,94
50,ORD000050,MARKET,BUY,,25
51,ORD000051,LIMIT,BUY,98.7,32
52,ORD000052,LIMIT,BUY,100.15,71
53,ORD000048,CANCEL,,,
54,ORD000054,LIMIT,BUY,100.32,31
55,ORD000040,CANCEL,,,
56,ORD000056,LIMIT,SELL,99.91,1
57,ORD000057,LIMIT,SELL,101.46,37
58,ORD000058,MARKET,SELL,,38
59,ORD000014,CANCEL,,,
60,ORD000060,LIMIT,BUY,98.14,75
61,ORD000061,MARKET,BUY,,66
62,ORD000030,CANCEL,,,
63,ORD000027,CANCEL,,,
64,ORD000064,LIMIT,BUY,100.35,73
65,ORD000057,CANCEL,,,
66,ORD000031,CANCEL,,,
67,ORD000067,LIMIT,SELL,100.01,92
68,ORD000068,LIMIT,SELL,101.18,39
69,ORD000069,MARKET,BUY,,80
70,ORD000070,MARKET,BUY,,28
71,ORD000071,LIMIT,BUY,100.2,32
72,ORD000072,LIMIT,BUY,99.36,39
73,ORD000073,LIMIT,BUY,99.39,85
74,ORD000038,CANCEL,,,
75,ORD000033,CANCEL,,,
76,ORD000076,MARKET,BUY,,78
77,ORD000054,CANCEL,,,
78,ORD000073,CANCEL,,,
79,ORD000079,MARKET,SELL,,7
80,ORD000064,CANCEL,,,
81,ORD000081,MARKET,BUY,,99
82,ORD000052,CANCEL,,,
83,ORD000072,CANCEL,,,
84,ORD000084,LIMIT,SELL,99.78,89
85,ORD000085,LIMIT,BUY,99.46,19
86,ORD000086,LIMIT,BUY,100.25,6
87,ORD000087,LIMIT,BUY,99.67,46
88,ORD000088,LIMIT,SELL,101.37,31
89,ORD000089,LIMIT,BUY,98.06,95
90,ORD000090,LIMIT,SELL,101.66,32
91,ORD000090,CANCEL,,,
92,ORD000092,LIMIT,SELL,101.65,29
93,ORD000084,CANCEL,,,
94,ORD000094,MARKET,BUY,,85
95,ORD000068,CANCEL,,,
96,ORD000042,CANCEL,,,
97,ORD000097,LIMIT,SELL,100.77,87
98,ORD000098,LIMIT,SELL,99.79,34
99,ORD000071,CANCEL,,,
100,ORD000097,CANCEL,,,
101,ORD000101,LIMIT,SELL,101.96,15
102,ORD000102,MARKET,BUY,,91
103,ORD000103,LIMIT,BUY,98.17,86
104,ORD000104,LIMIT,SELL,99.81,39
105,ORD000105,LIMIT,SELL,101.24,71
106,ORD000088,CANCEL,,,
107,ORD000107,LIMIT,SELL,101.76,79
108,ORD000108,LIMIT,SELL,99.5,37
109,ORD000105,CANCEL,,,
110,ORD000110,LIMIT,SELL,100.61,28
111,ORD000111,LIMIT,BUY,98.71,85
112,ORD000112,MARKET,SELL,,97
113,ORD000085,CANCEL,,,
114,ORD000060,CANCEL,,,
