after_sequence,taker_id,maker_id,price,quantity,taker_side
6,ORD000006,ORD000003,99.79,49,SELL
17,ORD000017,ORD000015,100.11,73,SELL
19,ORD000019,ORD000015,100.11,27,SELL
19,ORD000019,ORD000008,99.34,49,SELL
19,ORD000019,ORD000005,98.85,20,SELL
26,ORD000026,ORD000023,99.98,55,SELL
26,ORD000026,ORD000014,98.61,1,SELL
29,ORD000029,ORD000012,100.41,48,BUY
29,ORD000029,ORD000020,100.57,50,BUY
31,ORD000031,ORD000027,100.19,34,SELL
33,ORD000033,ORD000031,100.10,39,BUY
33,ORD000033,ORD000020,100.57,22,BUY
37,ORD000037,ORD000034,100.18,55,SELL
37,ORD000037,ORD000032,100.04,16,SELL
38,ORD000038,ORD000020,100.57,3,BUY
38,ORD000038,ORD000036,100.63,32,BUY
38,ORD000038,ORD000018,100.75,56,BUY
39,ORD000039,ORD000018,100.75,5,BUY
42,ORD000042,ORD000041,100.21,13,SELL
45,ORD000045,ORD000043,100.67,94,BUY
48,ORD000048,ORD000018,100.75,22,BUY
48,ORD000048,ORD000013,101.21,10,BUY
48,ORD000048,ORD000010,101.26,6,BUY
48,ORD000048,ORD000011,101.64,13,BUY
48,ORD000048,ORD000024,101.99,19,BUY
52,ORD000052,ORD000041,100.21,38,SELL
58,ORD000058,ORD000056,100.35,73,SELL
58,ORD000058,ORD000041,100.21,19,SELL
60,ORD000060,ORD000050,100.50,8,BUY
60,ORD000060,ORD000059,101.18,39,BUY
60,ORD000060,ORD000024,101.99,33,BUY
61,ORD000061,ORD000024,101.99,16,BUY
66,ORD000066,ORD000065,100.22,44,SELL
67,ORD000067,ORD000065,100.22,7,SELL
70,ORD000070,ORD000065,100.22,45,SELL
70,ORD000070,ORD000041,100.21,4,SELL
70,ORD000070,ORD000062,100.20,8,SELL
71,ORD000071,ORD000062,100.20,24,SELL
71,ORD000071,ORD000049,100.12,22,SELL
71,ORD000071,ORD000032,100.04,43,SELL
82,ORD000082,ORD000073,100.25,6,SELL
82,ORD000082,ORD000032,100.04,28,SELL
83,ORD000083,ORD000032,100.04,11,SELL
83,ORD000083,ORD000074,99.67,46,SELL
83,ORD000083,ORD000072,99.46,19,SELL
83,ORD000083,ORD000064,99.39,1,SELL
98,ORD000098,ORD000087,99.81,14,BUY
99,ORD000099,ORD000087,99.81,25,BUY
99,ORD000099,ORD000089,100.45,65,BUY
