sequence,order_id,type,side,price,quantity
1,ORD000001,LIMIT,BUY,98.61,18
2,ORD000002,LIMIT,BUY,98.08,12
3,ORD000003,LIMIT,BUY,99.79,90
4,ORD000004,LIMIT,BUY,98.7,1
5,ORD000005,LIMIT,BUY,98.85,20
6,ORD000006,MARKET,SELL,,49
7,ORD000003,CANCEL,,,
8,ORD000008,LIMIT,BUY,99.34,49
9,ORD000004,CANCEL,,,
10,ORD000010,LIMIT,SELL,101.26,6
11,ORD000011,LIMIT,SELL,101.64,13
12,ORD000012,LIMIT,SELL,100.41,48
13,ORD000013,LIMIT,SELL,101.21,10
14,ORD000014,LIMIT,BUY,98.61,60
15,ORD000015,LIMIT,BUY,100.11,100
16,ORD000001,CANCEL,,,
17,ORD000017,LIMIT,SELL,100.03,73
18,ORD000018,LIMIT,SELL,100.75,83
19,ORD000019,MARKET,SELL,,96
20,ORD000020,LIMIT,SELL,100.57,75
21,ORD000021,LIMIT,BUY,98.35,64
22,ORD000002,CANCEL,,,
23,ORD000023,LIMIT,BUY,99.98,55
24,ORD000024,LIMIT,SELL,101.99,68
25,ORD000025,LIMIT,BUY,98.29,69
26,ORD000026,MARKET,SELL,,56
27,ORD000027,LIMIT,BUY,100.19,34
28,ORD000028,LIMIT,BUY,98.27,81
29,ORD000029,MARKET,BUY,,98
30,ORD000030,LIMIT,BUY,99.22,15
31,ORD000031,LIMIT,SELL,100.1,73
32,ORD000032,LIMIT,BUY,100.04,98
33,ORD000033,MARKET,BUY,,61
34,ORD000034,LIMIT,BUY,100.18,55
35,ORD000035,LIMIT,BUY,99.0,86
36,ORD000036,LIMIT,SELL,100.63,32
37,ORD000037,MARKET,SELL,,71
38,ORD000038,MARKET,BUY,,91
39,ORD000039,MARKET,BUY,,5
40,ORD000040,LIMIT,BUY,98.7,63
41,ORD000041,LIMIT,BUY,100.21,74
42,ORD000042,LIMIT,SELL,99.98,13
43,ORD000043,LIMIT,SELL,100.67,94
44,ORD000035,CANCEL,,,
45,ORD000045,MARKET,BUY,,94
46,ORD000046,LIMIT,BUY,98.48,58
47,ORD000047,LIMIT,BUY,98.62,10
48,ORD000048,MARKET,BUY,,70
49,ORD000049,LIMIT,BUY,100.12,22
50,ORD000050,LIMIT,SELL,100.5,8
51,ORD000051,LIMIT,BUY,98.66,59
52,ORD000052,MARKET,SELL,,38
53,ORD000053,LIMIT,BUY,99.36,96
54,ORD000054,LIMIT,BUY,99.26,68
55,ORD000055,LIMIT,BUY,98.17,9
56,ORD000056,LIMIT,BUY,100.35,73
57,ORD000057,LIMIT,BUY,99.05,75
58,ORD000058,LIMIT,SELL,100.01,92
59,ORD000059,LIMIT,SELL,101.18,39
60,ORD000060,MARKET,BUY,,80
61,ORD000061,MARKET,BUY,,28
62,ORD000062,LIMIT,BUY,100.2,32
63,ORD000063,LIMIT,BUY,99.36,39
64,ORD000064,LIMIT,BUY,99.39,85
65,ORD000065,LIMIT,BUY,100.22,96
66,ORD000066,LIMIT,SELL,100.03,44
67,ORD000067,LIMIT,SELL,100.13,7
68,ORD000050,CANCEL,,,
69,ORD000069,MARKET,BUY,,99
70,ORD000070,MARKET,SELL,,57
71,ORD000071,LIMIT,SELL,99.78,89
72,ORD000072,LIMIT,BUY,99.46,19
73,ORD000073,LIMIT,BUY,100.25,6
74,ORD000074,LIMIT,BUY,99.67,46
75,ORD000075,LIMIT,SELL,101.37,31
76,ORD000076,LIMIT,BUY,98.06,95
77,ORD000077,LIMIT,SELL,101.66,32
78,ORD000078,LIMIT,BUY,98.1,61
79,ORD000079,LIMIT,SELL,101.55,30
80,ORD000080,LIMIT,BUY,98.7,9
81,ORD000081,LIMIT,SELL,100.77,87
82,ORD000082,LIMIT,SELL,99.79,34
83,ORD000083,MARKET,SELL,,77
84,ORD000084,LIMIT,SELL,101.96,15
85,ORD000085,LIMIT,BUY,99.77,1
86,ORD000086,LIMIT,BUY,98.17,86
87,ORD000087,LIMIT,SELL,99.81,39
88,ORD000088,LIMIT,SELL,101.24,71
89,ORD000089,LIMIT,SELL,100.45,96
90,ORD000090,LIMIT,SELL,101.58,39
91,ORD000091,LIMIT,SELL,101.02,42
92,ORD000092,LIMIT,SELL,100.78,95
93,ORD000093,LIMIT,BUY,99.66,80
94,ORD000094,LIMIT,BUY,98.56,26
95,ORD000095,LIMIT,BUY,99.19,99
96,ORD000049,CANCEL,,,
97,ORD000097,LIMIT,BUY,98.96,52
98,ORD000098,LIMIT,BUY,100.15,14
99,ORD000099,MARKET,BUY,,90
100,ORD000100,LIMIT,BUY,100.29,16
